id;identifiantconc;idformulation;codeproduit;formcomplete;designation;misecomb;misetotale;numform
1;10406;90672;Product;false;RAM;back up real-time transmit;69106;80020
2;85509;17055;niches quantify;true;Fresh;invoice;91461;6234
3;82456;96547;RSS;false;violet;Metal Refined;7655;35288
4;43970;68789;Research Generic;false;Garden digital;Cordoba Oro;60795;41736
5;84241;45074;Money Market Account Plastic paradigms;false;Soft neural Refined Granite Shoes;programming parallelism;12636;60440
6;14767;4283;withdrawal engage Argentine Peso;false;Auto Loan Account;granular;806;97287
7;72098;54267;European Unit of Account 17(E.U.A.-17);false;Iraqi Dinar Rustic Frozen Gloves;Administrator paradigms;92125;7325
8;47713;79243;parsing;true;Alaska encryption Forge;Cambridgeshire optimize;70632;8778
9;72176;97185;synergies Total Pants;true;Investment Account;Key;44378;42882
10;32059;25060;Bedfordshire relationships archive;true;Secured override;Jordanian Dinar Automotive generating;19626;64558
