id;valide;annule;paye;rembourse
1;Mobility;content-based;Chief;Pizza multi-byte mindshare
2;Agent;Generic Open-source 5th generation;District Meadow connect;payment Views
3;pixel Solutions;Savings Account database;coherent Fantastic Soft Bike Brazilian Real;didactic
4;Designer;Garden program SCSI;Phased;Paradigm
5;Oklahoma Beauty;Rubber Future brand;calculating;Buckinghamshire task-force National
6;clear-thinking;Tennessee;SMTP Pennsylvania;optimizing Borders
7;transmit global;parallelism Maine;Togo Chips withdrawal;Virginia
8;mint green Malawi Borders;Bulgaria Manager Games;Checking Account;hardware
9;Principal Fall;Myanmar;benchmark multi-byte;violet
10;Sleek hack;toolset;Graphical User Interface;Valley Berkshire
